Unnamed: 0,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
97,Mexico,MEX,AMRO,REPORTING,2023-12-29,222226293.0,96727823.0,172.0,75.0,81346379.0,63.0,0.0,2020-12-24,0.0,57014052.0,44.0
98,North Macedonia,MKD,EURO,REPORTING,2023-12-23,1862987.0,854570.0,89.0,41.0,838181.0,40.0,0.0,2021-02-17,0.0,161633.0,8.0
99,Mali,MLI,AFRO,REPORTING,2023-12-31,5922585.0,4354292.0,29.0,22.0,3633589.0,18.0,0.0,2021-03-31,0.0,0.0,0.0
100,Malta,MLT,EURO,REPORTING,2023-12-23,1282437.0,450535.0,249.0,88.0,444904.0,86.0,0.0,2020-12-23,0.0,354901.0,69.0
101,Montenegro,MNE,EURO,REPORTING,2023-12-23,526975.0,272152.0,84.0,43.0,254365.0,40.0,0.0,2021-02-24,0.0,0.0,0.0
102,Mozambique,MOZ,AFRO,REPORTING,2023-12-31,34950858.0,22869646.0,112.0,73.0,21329745.0,68.0,0.0,2021-03-08,0.0,2323562.0,7.0
103,Mauritania,MRT,AFRO,REPORTING,2023-12-31,4075874.0,2103754.0,88.0,45.0,1540597.0,33.0,0.0,2021-03-26,0.0,383937.0,8.0
104,Montserrat,MSR,AMRO,REPORTING,2023-12-29,4619.0,2104.0,92.0,42.0,1952.0,39.0,0.0,2021-02-08,0.0,563.0,11.0
105,Mauritius,MUS,AFRO,REPORTING,2023-12-31,2616012.0,1123773.0,206.0,88.0,1088142.0,86.0,0.0,2021-01-26,0.0,654507.0,51.0
106,Malawi,MWI,AFRO,REPORTING,2023-12-31,8503954.0,5433538.0,44.0,28.0,4288014.0,22.0,0.0,2021-03-11,0.0,1232829.0,6.0
107,Malaysia,MYS,WPRO,REPORTING,2023-12-31,72647279.0,28137593.0,224.0,87.0,27550612.0,85.0,0.0,2021-02-24,0.0,16347670.0,51.0
108,Namibia,NAM,AFRO,REPORTING,2023-12-31,1005937.0,629767.0,40.0,25.0,550978.0,22.0,0.0,2021-03-19,0.0,298560.0,12.0
109,Niger,NER,AFRO,REPORTING,2023-12-31,7372208.0,6248483.0,30.0,26.0,5483001.0,23.0,0.0,2021-03-29,0.0,0.0,0.0
110,Nigeria,NGA,AFRO,REPORTING,2023-12-31,133048021.0,93829435.0,65.0,46.0,81297808.0,39.0,0.0,2021-03-05,0.0,16826715.0,8.0
111,Nicaragua,NIC,AMRO,REPORTING,2023-12-29,15507763.0,6404524.0,234.0,97.0,6126708.0,92.0,0.0,2021-03-03,0.0,2892531.0,44.0
112,Netherlands (Kingdom of the),NLD,EURO,REPORTING,2023-12-23,40291263.0,13469323.0,231.0,77.0,12405837.0,71.0,0.0,2020-12-30,0.0,12146841.0,70.0
113,Norway,NOR,EURO,REPORTING,2023-12-23,13020641.0,4346149.0,243.0,81.0,4061312.0,76.0,0.0,2020-12-23,0.0,3705726.0,69.0
114,Panama,PAN,AMRO,REPORTING,2023-12-29,9201276.0,3746041.0,213.0,87.0,3178700.0,74.0,0.0,2021-01-20,0.0,1770843.0,41.0
115,Peru,PER,AMRO,REPORTING,2023-12-29,91328338.0,30542485.0,277.0,93.0,28709882.0,87.0,0.0,2021-02-09,0.0,22245062.0,67.0
116,Papua New Guinea,PNG,WPRO,REPORTING,2023-12-04,543670.0,399198.0,6.0,4.0,338004.0,4.0,0.0,2021-03-30,0.0,37525.0,0.0
117,Poland,POL,EURO,REPORTING,2023-12-23,58634593.0,22984543.0,154.0,61.0,22705868.0,60.0,0.0,2020-12-23,0.0,12928562.0,34.0
118,Puerto Rico,PRI,AMRO,REPORTING,2023-12-29,7846764.0,3136418.0,274.0,100.0,2688410.0,94.0,0.0,2022-01-01,0.0,1808780.0,63.0
119,Portugal,PRT,EURO,REPORTING,2023-12-23,27360186.0,9822021.0,266.0,95.0,8910340.0,87.0,0.0,2020-12-23,0.0,7052055.0,68.0
120,Paraguay,PRY,AMRO,REPORTING,2023-12-29,9954852.0,3995915.0,140.0,56.0,3550673.0,50.0,0.0,2021-02-22,0.0,1660766.0,23.0
121,Romania,ROU,EURO,REPORTING,2023-12-23,16112261.0,8188137.0,83.0,42.0,8142363.0,42.0,0.0,2021-01-27,0.0,1770001.0,9.0
122,Russian Federation,RUS,EURO,REPORTING,2023-12-23,187374508.0,89081596.0,128.0,61.0,79702396.0,55.0,0.0,2022-01-01,0.0,0.0,0.0
123,Rwanda,RWA,AFRO,REPORTING,2023-12-31,27322059.0,10884714.0,211.0,84.0,10399665.0,80.0,0.0,2021-03-05,0.0,5879013.0,45.0
124,Sudan,SDN,EMRO,REPORTING,2023-12-31,28662107.0,15207452.0,65.0,35.0,13416394.0,31.0,0.0,2021-03-09,0.0,38261.0,0.0
125,Senegal,SEN,AFRO,REPORTING,2023-12-31,3182308.0,2684696.0,19.0,16.0,1548665.0,9.0,0.0,2021-02-23,0.0,724754.0,4.0
126,Sierra Leone,SLE,AFRO,REPORTING,2023-12-31,9155936.0,5676123.0,115.0,71.0,4961886.0,62.0,0.0,2021-03-15,0.0,1201709.0,15.0
127,El Salvador,SLV,AMRO,REPORTING,2023-12-29,11459448.0,4659970.0,177.0,72.0,4397817.0,68.0,0.0,2021-02-17,0.0,1908547.0,29.0
128,San Marino,SMR,EURO,REPORTING,2023-12-23,69338.0,26357.0,204.0,78.0,23633.0,70.0,0.0,2021-02-24,0.0,19348.0,57.0
129,Somalia,SOM,EMRO,REPORTING,2023-12-31,8784760.0,8972167.0,55.0,56.0,7666835.0,48.0,0.0,2021-03-16,0.0,0.0,0.0
130,Serbia,SRB,EURO,REPORTING,2023-12-23,6722671.0,3398116.0,97.0,49.0,3324555.0,48.0,0.0,2020-12-23,0.0,0.0,0.0
131,South Sudan,SSD,AFRO,REPORTING,2023-12-31,4365547.0,4315127.0,39.0,39.0,4273253.0,38.0,0.0,2021-04-06,0.0,513122.0,5.0
132,Sao Tome and Principe,STP,AFRO,REPORTING,2023-12-31,263863.0,140256.0,120.0,64.0,111986.0,51.0,0.0,2021-03-15,0.0,34624.0,16.0
133,Suriname,SUR,AMRO,REPORTING,2023-12-29,554588.0,267820.0,95.0,46.0,237879.0,41.0,0.0,2021-02-23,0.0,48889.0,8.0
134,Slovakia,SVK,EURO,REPORTING,2023-12-23,7222380.0,2840017.0,132.0,52.0,2791711.0,51.0,0.0,2020-12-23,0.0,1686458.0,31.0
135,Slovenia,SVN,EURO,REPORTING,2023-12-23,3028400.0,1252307.0,144.0,60.0,1187384.0,57.0,0.0,2020-12-23,0.0,681485.0,33.0
136,Sweden,SWE,EURO,REPORTING,2023-12-23,23237123.0,7563941.0,225.0,73.0,7403549.0,72.0,0.0,2020-12-23,0.0,5542831.0,54.0
137,Eswatini,SWZ,AFRO,REPORTING,2023-12-31,870205.0,526050.0,75.0,45.0,427335.0,37.0,0.0,2021-03-19,0.0,179450.0,15.0
138,Sint Maarten (Dutch part),SXM,AMRO,REPORTING,2023-12-29,66829.0,29788.0,156.0,69.0,26773.0,62.0,0.0,2022-01-01,0.0,9146.0,21.0
139,Seychelles,SYC,AFRO,REPORTING,2023-12-31,224558.0,88520.0,228.0,90.0,83565.0,85.0,0.0,2021-01-10,0.0,44936.0,46.0
140,Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-12-29,73907.0,32815.0,191.0,85.0,30710.0,79.0,0.0,2021-01-11,0.0,7443.0,19.0
141,Chad,TCD,AFRO,REPORTING,2023-12-31,9151765.0,5147667.0,56.0,31.0,5020360.0,31.0,0.0,2021-06-04,0.0,4042573.0,25.0
142,Togo,TGO,AFRO,REPORTING,2023-12-31,3423181.0,2255579.0,41.0,27.0,1554066.0,19.0,0.0,2021-03-10,0.0,427804.0,5.0
143,Tajikistan,TJK,EURO,REPORTING,2023-12-23,20568163.0,5328277.0,216.0,56.0,5191919.0,54.0,0.0,2021-03-24,0.0,5322496.0,56.0
