Unnamed: 0,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
0,Aruba,ABW,AMRO,REPORTING,2023-12-29,217124.0,90493.0,203.0,85.0,84363.0,79.0,0.0,2021-02-17,0.0,35659.0,33.0
1,Afghanistan,AFG,EMRO,REPORTING,2023-12-31,22964750.0,19151369.0,59.0,49.0,18370386.0,47.0,0.0,2021-02-22,0.0,2729940.0,7.0
2,Angola,AGO,AFRO,REPORTING,2023-12-31,27819132.0,16550642.0,85.0,50.0,9609080.0,29.0,0.0,2021-03-10,0.0,3067091.0,9.0
3,Anguilla,AIA,AMRO,REPORTING,2023-12-29,24864.0,10858.0,166.0,72.0,10382.0,69.0,0.0,2021-02-05,0.0,3231.0,22.0
4,Albania,ALB,EURO,REPORTING,2023-12-23,3088966.0,1349255.0,107.0,47.0,1279333.0,44.0,0.0,2021-01-13,0.0,402371.0,14.0
5,Andorra,AND,EURO,REPORTING,2023-12-23,157072.0,57913.0,203.0,75.0,53501.0,69.0,0.0,2021-01-20,0.0,43071.0,56.0
6,Argentina,ARG,AMRO,REPORTING,2023-12-29,116686617.0,41188650.0,258.0,91.0,38090133.0,84.0,0.0,2020-12-29,0.0,27718875.0,61.0
7,Armenia,ARM,EURO,REPORTING,2023-12-23,2256919.0,1150915.0,76.0,39.0,1030758.0,35.0,0.0,2021-01-27,0.0,81354.0,3.0
8,Antigua and Barbuda,ATG,AMRO,REPORTING,2023-12-29,136512.0,64290.0,139.0,66.0,62384.0,64.0,0.0,2021-03-01,0.0,9838.0,10.0
9,Australia,AUS,WPRO,REPORTING,2023-12-31,69686752.0,22443557.0,273.0,88.0,21766240.0,85.0,0.0,2021-02-21,0.0,14391682.0,56.0
10,Austria,AUT,EURO,REPORTING,2023-12-23,20403676.0,6909588.0,229.0,78.0,6682372.0,75.0,0.0,2020-12-30,0.0,5405966.0,61.0
11,Azerbaijan,AZE,EURO,REPORTING,2023-12-23,13829360.0,5436662.0,136.0,54.0,4888112.0,48.0,0.0,2021-01-20,0.0,3504588.0,35.0
12,Burundi,BDI,AFRO,REPORTING,2023-12-31,42252.0,36909.0,0.0,0.0,36321.0,0.0,0.0,2021-10-18,0.0,314.0,0.0
13,Belgium,BEL,EURO,REPORTING,2023-12-23,29117755.0,9248897.0,253.0,80.0,9152736.0,79.0,0.0,2020-12-30,0.0,7246551.0,63.0
14,Benin,BEN,AFRO,REPORTING,2023-12-31,4232541.0,3697190.0,35.0,30.0,2742837.0,23.0,0.0,2021-03-29,0.0,0.0,0.0
15,Burkina Faso,BFA,AFRO,REPORTING,2023-12-31,7893609.0,6089089.0,38.0,29.0,5232347.0,25.0,0.0,2021-06-02,0.0,4056.0,0.0
16,Bulgaria,BGR,EURO,REPORTING,2023-12-23,4723016.0,2155863.0,68.0,31.0,2080472.0,30.0,0.0,2020-12-30,0.0,864723.0,12.0
17,Bahamas,BHS,AMRO,REPORTING,2023-12-29,366359.0,174810.0,93.0,44.0,166972.0,42.0,0.0,2021-03-14,0.0,33717.0,9.0
18,Bosnia and Herzegovina,BIH,EURO,REPORTING,2023-12-23,1190949.0,546013.0,36.0,17.0,461202.0,14.0,0.0,2022-01-01,0.0,182203.0,6.0
19,Belarus,BLR,EURO,REPORTING,2023-12-23,22765402.0,6451746.0,241.0,68.0,6366658.0,67.0,0.0,2021-02-03,0.0,5724423.0,61.0
20,Belize,BLZ,AMRO,REPORTING,2023-12-29,511106.0,236221.0,129.0,59.0,221478.0,56.0,0.0,2021-03-01,0.0,53189.0,13.0
21,Bermuda,BMU,AMRO,REPORTING,2023-12-29,136759.0,48554.0,220.0,78.0,47657.0,77.0,0.0,2021-01-11,0.0,32016.0,51.0
22,Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-12-29,16104540.0,7505389.0,138.0,64.0,6307628.0,54.0,0.0,2021-01-30,0.0,2521192.0,22.0
23,Brazil,BRA,AMRO,REPORTING,2023-12-29,516237106.0,184663245.0,243.0,87.0,172876264.0,81.0,0.0,2021-01-17,0.0,110574302.0,52.0
24,Barbados,BRB,AMRO,REPORTING,2023-12-29,384049.0,163853.0,134.0,57.0,155047.0,54.0,0.0,2021-01-08,0.0,62848.0,22.0
25,Botswana,BWA,AFRO,REPORTING,2023-12-31,3171667.0,1951054.0,135.0,83.0,1663490.0,71.0,0.0,2021-03-26,0.0,510809.0,22.0
26,Central African Republic,CAF,AFRO,REPORTING,2023-12-31,3342248.0,2600389.0,69.0,54.0,2484985.0,51.0,0.0,2021-03-19,0.0,366221.0,8.0
27,Canada,CAN,AMRO,REPORTING,2023-12-29,99034734.0,32647931.0,262.0,87.0,31314748.0,83.0,0.0,2020-12-14,0.0,19860368.0,53.0
28,Switzerland,CHE,EURO,REPORTING,2023-12-23,16755985.0,6096600.0,194.0,70.0,5723066.0,66.0,0.0,2020-12-23,0.0,4996650.0,58.0
29,Chile,CHL,AMRO,REPORTING,2023-12-29,66864900.0,17538744.0,350.0,92.0,17721999.0,93.0,0.0,2020-12-21,0.0,15779434.0,83.0
30,C�te d'Ivoire,CIV,AFRO,REPORTING,2023-12-31,25263932.0,13568372.0,96.0,51.0,12164304.0,46.0,0.0,2021-03-01,0.0,3138712.0,12.0
31,Cameroon,CMR,AFRO,REPORTING,2023-12-31,4880572.0,3753733.0,18.0,14.0,3197286.0,12.0,0.0,2021-04-12,0.0,803560.0,3.0
32,Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-12-31,18808671.0,17045721.0,21.0,19.0,14399520.0,16.0,0.0,2021-04-19,0.0,0.0,0.0
33,Congo,COG,AFRO,REPORTING,2023-12-31,833210.0,695760.0,15.0,13.0,654119.0,12.0,0.0,2021-03-23,0.0,0.0,0.0
34,Colombia,COL,AMRO,REPORTING,2023-12-29,90931192.0,43012174.0,179.0,85.0,37204128.0,73.0,0.0,2021-02-17,0.0,14944212.0,29.0
35,Comoros,COM,AFRO,REPORTING,2023-12-31,835021.0,438825.0,96.0,50.0,397080.0,46.0,0.0,2021-04-10,0.0,0.0,0.0
36,Cabo Verde,CPV,AFRO,REPORTING,2023-12-31,859940.0,356734.0,155.0,64.0,308720.0,56.0,0.0,2021-03-18,0.0,749.0,0.0
37,Costa Rica,CRI,AMRO,REPORTING,2023-12-29,13576935.0,4650636.0,267.0,91.0,4369784.0,86.0,0.0,2020-12-24,0.0,2986527.0,59.0
38,Cuba,CUB,AMRO,REPORTING,2023-12-29,45857667.0,10786800.0,405.0,95.0,10043987.0,89.0,0.0,2022-01-01,0.0,8783298.0,78.0
39,Cura�ao,CUW,AMRO,REPORTING,2023-12-29,260324.0,108601.0,159.0,66.0,100885.0,61.0,0.0,2022-01-01,0.0,47473.0,29.0
40,Cayman Islands,CYM,AMRO,REPORTING,2023-12-29,152148.0,62113.0,232.0,95.0,60696.0,92.0,0.0,2021-01-15,0.0,24064.0,37.0
41,Cyprus,CYP,EURO,REPORTING,2023-12-23,1891597.0,669294.0,213.0,75.0,656138.0,74.0,0.0,2020-12-23,0.0,520026.0,59.0
42,Czechia,CZE,EURO,REPORTING,2023-12-23,18615329.0,6972222.0,174.0,65.0,6887973.0,64.0,0.0,2020-12-23,0.0,4365928.0,41.0
43,Germany,DEU,EURO,REPORTING,2023-12-23,193241457.0,64868618.0,232.0,78.0,63566137.0,76.0,0.0,2020-12-23,0.0,52143826.0,63.0
44,Djibouti,DJI,EMRO,REPORTING,2023-12-31,723789.0,372077.0,73.0,38.0,351712.0,36.0,0.0,2021-03-15,0.0,0.0,0.0
45,Dominica,DMA,AMRO,REPORTING,2023-12-29,67647.0,32995.0,94.0,46.0,30659.0,43.0,0.0,2021-02-12,0.0,3993.0,6.0
46,Denmark,DNK,EURO,REPORTING,2023-12-23,14928430.0,4737987.0,256.0,81.0,4781285.0,82.0,0.0,2020-12-16,0.0,3674678.0,63.0
47,Dominican Republic,DOM,AMRO,REPORTING,2023-12-29,16431089.0,7360900.0,151.0,68.0,6130483.0,57.0,0.0,2021-02-16,0.0,2575142.0,24.0
48,Algeria,DZA,AFRO,REPORTING,2023-12-31,15267442.0,7840131.0,35.0,18.0,6481186.0,15.0,0.0,2021-01-30,0.0,575651.0,1.0
49,Ecuador,ECU,AMRO,REPORTING,2023-12-29,39585085.0,15345791.0,224.0,87.0,14249559.0,81.0,0.0,2021-01-20,0.0,7732930.0,44.0
50,Egypt,EGY,EMRO,REPORTING,2023-12-31,102191677.0,56907319.0,100.0,56.0,42337175.0,41.0,0.0,2021-01-24,0.0,15217352.0,15.0
51,Spain,ESP,EURO,REPORTING,2023-12-23,119228502.0,41332877.0,252.0,87.0,37486219.0,79.0,0.0,2020-12-30,0.0,32914841.0,70.0
52,Estonia,EST,EURO,REPORTING,2023-12-23,2205229.0,845148.0,166.0,64.0,842177.0,63.0,0.0,2020-12-23,0.0,487389.0,37.0
53,Ethiopia,ETH,AFRO,REPORTING,2023-12-31,68856793.0,52489512.0,60.0,46.0,43653006.0,38.0,0.0,2021-03-13,0.0,5978070.0,5.0
54,Finland,FIN,EURO,REPORTING,2023-12-23,14186622.0,4547671.0,257.0,82.0,4365135.0,79.0,0.0,2020-12-23,0.0,4016189.0,73.0
55,France,FRA,EURO,REPORTING,2023-12-23,158060078.0,54677676.0,243.0,84.0,53189148.0,82.0,0.0,2020-12-23,0.0,41042160.0,63.0
56,Gabon,GAB,AFRO,REPORTING,2023-12-31,572672.0,311244.0,26.0,14.0,257471.0,12.0,0.0,2021-03-23,0.0,2592.0,0.0
57,United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,2023-12-23,151248820.0,53813491.0,223.0,79.0,50762968.0,75.0,0.0,2020-12-21,0.0,0.0,0.0
58,Georgia,GEO,EURO,REPORTING,2023-12-23,2739270.0,1300867.0,69.0,33.0,1187212.0,30.0,0.0,2021-03-17,0.0,251191.0,6.0
59,Ghana,GHA,AFRO,REPORTING,2023-12-31,25624828.0,13864186.0,82.0,45.0,10780003.0,35.0,0.0,2021-03-02,0.0,4806017.0,15.0
60,Guinea,GIN,AFRO,REPORTING,2023-12-31,12049511.0,8715641.0,92.0,66.0,5853990.0,45.0,0.0,2021-03-05,0.0,425378.0,3.0
61,Guadeloupe,GLP,0,REPORTING,2023-12-29,400424.0,152189.0,100.0,38.0,146147.0,37.0,0.0,2022-01-01,0.0,89052.0,22.0
